SEQN,RIAGENDR,RIDAGEYR,RIDEXPRG,LBXWBCSI,LBXLYPCT,LBXMOPCT,LBXNEPCT,LBXEOPCT,LBXBAPCT,LBDLYMNO,LBDMONO,LBDNENO,LBDEONO,LBDBANO,LBXRBCSI,LBXHGB,LBXHCT,LBXMCVSI,LBXMC,LBXMCHSI,LBXRDW,LBXPLTSI,LBXMPSI,LBXFER,IDA_Status
19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0,19995.0
71562.79284821205,1.7655913978494624,23.17299324831208,0.04081020255063766,7.5810852713178285,35.450672668167044,7.7035608902225565,53.47181795448862,2.734963740935233,0.708857214303576,2.632758189547387,0.5697724431107776,4.128167041760439,0.20408602150537639,0.04618154538634659,4.571463865966492,13.182925731432857,38.986791697924474,85.51731432858213,33.79499374843711,28.921780445111278,13.27480370092523,289.5206751687922,7.9148837209302325,47.045778944736185,0.04996249062265566
36058.30466576749,0.423639215773946,15.854133116596694,0.19785521914333384,2.2827765206155295,11.697602792707547,2.2445268306346526,12.790769429774324,2.22286699641268,0.5046825543958848,1.1529770058787594,0.2078400405974517,1.8336789603589079,0.18351815244229466,0.06019871439721036,0.41935462334663093,1.3113536657845544,3.683983795479114,6.519528170292787,1.0364761109304383,2.5899338906765794,1.4491360542811196,78.06235087948421,0.9446513854881013,37.577198409397646,0.21787293126419274
21006.0,1.0,1.0,0.0,1.4,4.2,0.7,2.4,5.397605346934028e-79,5.397605346934028e-79,0.2,5.397605346934028e-79,0.2,5.397605346934028e-79,5.397605346934028e-79,2.61,6.1,20.5,35.4,25.2,10.2,6.3,4.0,5.0,1.04,0.0
38598.0,2.0,12.0,0.0,5.9,27.3,6.2,45.7,1.3,0.4,1.9,0.4,2.8,0.1,5.397605346934028e-79,4.3,12.4,36.6,81.6,33.2,27.5,12.4,236.0,7.3,20.2,0.0
58295.0,2.0,20.0,0.0,7.3,33.7,7.4,55.1,2.2,0.6,2.4,0.5,3.8,0.2,5.397605346934028e-79,4.55,13.2,38.8,86.2,33.8,29.2,13.0,280.0,7.9,35.3,0.0
112686.5,2.0,36.0,0.0,8.8,42.0,8.9,62.4,3.4,0.9,3.0,0.7,5.1,0.2,0.1,4.82,14.0,41.3,90.0,34.5,30.7,13.8,332.0,8.5,62.0,0.0
124818.0,2.0,60.0,1.0,23.4,84.1,40.4,92.3,34.1,19.7,12.4,3.8,16.3,4.5,1.7,7.33,18.1,54.9,116.8,43.3,56.2,36.5,1021.0,13.5,200.0,1.0
